startup_name;date_incorporated
KUNO GmbH;2020-12-21
Nexis Brands UG (haftungsbeschränkt);2020-12-21
OX Dental GmbH;2020-12-21
Sidecaps GmbH;2020-12-21
SMIICS GmbH;2020-12-21
Type Software UG (haftungsbeschränkt);2020-12-21
Velocity Innovation UG (haftungsbeschränkt);2020-12-21
CareDigital2 AG;2020-12-19
Jobtrüffel GmbH;2020-12-19
PayTeco GmbH;2020-12-19
BEEBUCKET GmbH;2020-12-18
BlankRiver UG (haftungsbeschränkt);2020-12-18
DiGastro GmbH;2020-12-18
Infra Equity GmbH;2020-12-18
MAELT HS GmbH;2020-12-18
My Simply Keto GmbH;2020-12-18
Socialapply UG (haftungsbeschränkt);2020-12-18
Thermal Grizzly Holding GmbH;2020-12-18
Adupix GmbH;2020-12-17
agizo UG (haftungsbeschränkt);2020-12-17
Foodlivery UG (haftungsbeschränkt);2020-12-17
Hiveanalytica UG (haftungsbeschränkt);2020-12-17
InnoVantage UG (haftungsbeschränkt);2020-12-17
Kajo Health Solutions GmbH;2020-12-17
KYAANI GmbH;2020-12-17
Leadbase UG (haftungsbeschränkt);2020-12-17
micro UG (haftungsbeschränkt);2020-12-17
Panosome GmbH;2020-12-17
ROB's Originals GmbH;2020-12-17
Sysfacts AG;2020-12-17
Young Female MH GmbH;2020-12-17
Astromus UG (haftungsbeschränkt);2020-12-16
C3rrolutions GmbH;2020-12-16
Codeshift UG (haftungsbeschränkt);2020-12-16
Customic UG (haftungsbeschränkt);2020-12-16
Davasto UG (haftungsbeschränkt);2020-12-16
encorePeople GmbH;2020-12-16
Estatefolio GmbH;2020-12-16
Eye Built It GmbH;2020-12-16
Liefergrün GmbH;2020-12-16
Minechain GmbH;2020-12-16
MOKI Robotics GmbH;2020-12-16
MUSKthrust GmbH;2020-12-16
OK Legal IT GmbH;2020-12-16
OpenReg GmbH;2020-12-16
woqio UG (haftungsbeschränkt);2020-12-16
ZzEuS Cloud Solutions GmbH;2020-12-16
dentifico GmbH;2020-12-15
EKPO Fuel Cell Technologies GmbH;2020-12-15
Factum Analytics GmbH;2020-12-15
flint good gaming UG (haftungsbeschränkt);2020-12-15
fuse.space UG (haftungsbeschränkt);2020-12-15
Hybrid Reality GmbH;2020-12-15
Kentlos GmbH;2020-12-15
Layair GmbH;2020-12-15
Materially - The Materials Development Marketplace GmbH;2020-12-15
Monet Financial Technologies GmbH;2020-12-15
VoiceLab digital solutions Møller & Schleicher UG (haftungsbeschränkt);2020-12-15
App aufs Land UG (haftungsbeschränkt);2020-12-14
Bion Analytics UG (haftungsbeschränkt);2020-12-14
BuildersNetwork UG (haftungsbeschränkt);2020-12-14
CaterMatch GmbH;2020-12-14
DS Digitale Streckenkunde UG (haftungsbeschränkt);2020-12-14
Elgio UG (haftungsbeschränkt);2020-12-14
FLBE Health GmbH;2020-12-14
GBI Technology GmbH;2020-12-14
Immorento GmbH;2020-12-14
Rent4You GmbH;2020-12-14
Signs Health Technologies GmbH;2020-12-14
Tomorrows Education GmbH;2020-12-14
Tonebleed Music Technologies GmbH;2020-12-14
ThinxGreen GmbH;2020-12-12
Panopterra UG (haftungsbeschränkt);2020-12-11
STRAYZ Petfood GmbH;2020-12-11
Sysmagine GmbH;2020-12-11
Vertikali GmbH;2020-12-11
chargeyourmind GmbH;2020-12-10
Crocus Labs GmbH;2020-12-10
gapcharge GmbH;2020-12-10
Geodemo UG (haftungsbeschränkt);2020-12-10
Invisibel Helm UG (haftungsbeschränkt);2020-12-10
Leadrs UG (haftungsbeschränkt);2020-12-10
Lyfeforms.ai UG (haftungsbeschränkt);2020-12-10
Masantec GmbH;2020-12-10
Pipe Launch GmbH;2020-12-10
Planterior UG (haftungsbeschränkt);2020-12-10
prettysmart GmbH;2020-12-10
robofarm GmbH;2020-12-10
Two Pack GmbH;2020-12-10
Verlado GmbH;2020-12-10
Aerostack GmbH;2020-12-09
BavariAR UG (haftungsbeschränkt);2020-12-09
Ceder Solutions UG (haftungsbeschränkt);2020-12-09
Derma Scout GmbH;2020-12-09
digeatal UG (haftungsbeschränkt);2020-12-09
Green Convenience UG (haftungsbeschränkt);2020-12-09
LAPACHOO UG (haftungsbeschränkt);2020-12-09
Lumboak GmbH;2020-12-09
luujuu UG (haftungsbeschränkt);2020-12-09
moebelmatch UG (haftungsbeschränkt);2020-12-09
PIAS Education GmbH;2020-12-09
PRIOjet GmbH;2020-12-09
Protego Alert AS UG (haftungsbeschränkt);2020-12-09
Taberon UG (haftungsbeschränkt);2020-12-09
Thor Charge GmbH;2020-12-09
whylab UG (haftungsbeschränkt);2020-12-09
369 Motherfucouer UG (haftungsbeschränkt);2020-12-08
aimeup GmbH;2020-12-08
BrandBrandNew UG (haftungsbeschränkt);2020-12-08
ChooChoo - Campaign Train UG (haftungsbeschränkt);2020-12-08
Disruptive Gaming GmbH;2020-12-08
DV Plattform GmbH;2020-12-08
FalconRock Capital GmbH;2020-12-08
Klubly - Vereinsportal Media UG (haftungsbeschränkt);2020-12-08
Payforce GmbH;2020-12-08
ProcureAi GmbH;2020-12-08
RemXcale GmbH;2020-12-08
Smart Flow Irritech Solutions GmbH;2020-12-08
Twicky Sticky GmbH;2020-12-08
ZIPERY GmbH;2020-12-08
alunio GmbH;2020-12-07
Bringman GmbH;2020-12-07
Cinference UG (haftungsbeschränkt);2020-12-07
Cure Digital Finance GmbH;2020-12-07
DesCap GmbH;2020-12-07
Elara Digital GmbH;2020-12-07
FreeD Printing GmbH;2020-12-07
LIM Solutions (less is more) UG (haftungsbeschränkt);2020-12-07
platonARI UG (haftungsbeschränkt);2020-12-07
Vedra Care & Wellbeing UG (haftungsbeschränkt);2020-12-07
Wevacious. GmbH;2020-12-07
SevenbyNoah GmbH;2020-12-06
AI.Land GmbH;2020-12-04
ASEIKO Skin UG (Haftungsbeschränkt);2020-12-04
Check IT Now GmbH;2020-12-04
Die Padelfreunde UG (haftungsbeschränkt);2020-12-04
Divizend GmbH;2020-12-04
eTree mobility GmbH;2020-12-04
medacon X GmbH;2020-12-04
Motorskins UG (haftungsbeschränkt);2020-12-04
Timber Today GmbH;2020-12-04
Wattson Energy GmbH;2020-12-04
WS-Bike-E-Motion GmbH;2020-12-04
Airphoto GmbH;2020-12-03
Futuring.earth UG (haftungsbeschränkt);2020-12-03
Gloho Games UG (haftungsbeschränkt);2020-12-03
Hire and Care DP UG (haftungsbeschränkt);2020-12-03
KlarSchiff GmbH;2020-12-03
Marinom GmbH;2020-12-03
mim technologies GmbH;2020-12-03
OpenDress GmbH;2020-12-03
PolyCrypt GmbH;2020-12-03
Popple GmbH;2020-12-03
Primerce GmbH;2020-12-03
PROLIXO GmbH;2020-12-03
stavoo UG (haftungsbeschränkt);2020-12-03
Susteyn Urban Farming Technologies UG (haftungsbeschränkt);2020-12-03
TuneCart UG (haftungsbeschränkt);2020-12-03
800 Volt Technologies GmbH;2020-12-02
Aeerstatica UG (haftungsbeschränkt);2020-12-02
Anspruchsretter24 GmbH;2020-12-02
BEEoled GmbH;2020-12-02
Burning Technologies UG (haftungsbeschränkt);2020-12-02
dadacoin technologies GmbH;2020-12-02
DasAboMobil GmbH;2020-12-02
fronyx GmbH;2020-12-02
GEWANDx UG (haftungsbeschränkt);2020-12-02
Lemin GmbH;2020-12-02
newboxes GmbH;2020-12-02
Noisli Labs UG (haftungsbeschränkt);2020-12-02
onetask.ai GmbH;2020-12-02
tomorrowfoodsolutions UG (haftungsbeschränkt);2020-12-02
ulloo UG (haftungsbeschränkt);2020-12-02
Angiolutions GmbH;2020-12-01
BDOW GmbH;2020-12-01
BlindMate GmbH;2020-12-01
Crash Cosmetics GmbH;2020-12-01
esembli UG (haftungsbeschränkt);2020-12-01
IReSA Legal Tech GmbH;2020-12-01
Kapela UG (haftungsbeschränkt);2020-12-01
lemon.markets GmbH;2020-12-01
Live & Study UG (haftungsbeschränkt);2020-12-01
Specter Smith UG (haftungsbeschränkt);2020-12-01
Studyspot UG (haftungsbeschränkt);2020-12-01
SW2Creator UG (haftungsbeschränkt);2020-12-01
WaveUp GmbH;2020-12-01
3D Druckschmiede UG (haftungsbeschränkt);2020-11-30
App-Share GmbH;2020-11-30
J'TANICALS GmbH;2020-11-30
PICKFLIP UG (haftungsbeschränkt);2020-11-30
Pick & Pack 24 GmbH;2020-11-30
SmartyX GmbH;2020-11-30
The Mother Nature GmbH;2020-11-30
BlinkIn GmbH;2020-11-28
LabOrbital GmbH;2020-11-28
Oxyt Technology UG (haftungsbeschränkt);2020-11-28
RAQUEST GmbH;2020-11-28
Vitomy UG (haftungsbeschränkt);2020-11-28
Argus Eyes UG (haftungsbeschränkt);2020-11-27
Body Control GmbH;2020-11-27
Civical GmbH;2020-11-27
Denta Scout GmbH;2020-11-27
getsy GmbH;2020-11-27
James Gastro Technology UG (haftungsbeschränkt);2020-11-27
Perfguide GmbH;2020-11-27
Yappiez Digital Pet Care UG (haftungsbeschränkt);2020-11-27
3DScan Solutions GmbH;2020-11-26
4billion UG (haftungsbeschränkt);2020-11-26
eyelevel ADHS GmbH;2020-11-26
heytimi GmbH;2020-11-26
Horizer UG (haftungsbeschränkt);2020-11-26
Knowron GmbH;2020-11-26
Plaifit UG (haftungsbeschränkt);2020-11-26
Salamtak GmbH;2020-11-26
scanmetrix.fm GmbH;2020-11-26
SO LAB X UG (haftungsbeschränkt);2020-11-26
Speakify24 UG (haftungsbeschränkt);2020-11-26
Stoff2 GmbH;2020-11-26
Woow Club GmbH;2020-11-26
Auriventis GmbH;2020-11-25
Connecting Dots UG (haftungsbeschränkt);2020-11-25
Flucto GmbH;2020-11-25
Meducando UG (haftungsbeschränkt);2020-11-25
Ostellus GmbH;2020-11-25
Placing-Me UG (haftungsbeschränkt);2020-11-25
Qursy GmbH;2020-11-25
Semdor Pharma Group GmbH;2020-11-25
TEFIT GmbH;2020-11-25
Vamos.ai GmbH;2020-11-25
Verbally GmbH;2020-11-25
Aplus Energy GmbH;2020-11-24
ForSchur Wolltextil GmbH;2020-11-24
Get Driven Germany GmbH;2020-11-24
JUCR GmbH;2020-11-24
medicruiter GmbH;2020-11-24
MMI Digital Solutions GmbH;2020-11-24
RechargeNow GmbH;2020-11-24
ROSCUE Therapeutics GmbH;2020-11-24
SMARTMARK GmbH;2020-11-24
SyncTwin GmbH;2020-11-24
audory UG (haftungsbeschränkt);2020-11-23
codary GmbH;2020-11-23
Leeloo Medical GmbH;2020-11-23
Planoa Bauberatung GmbH;2020-11-23
Plecotus Solutions GmbH;2020-11-23
rise collab GmbH;2020-11-23
ServiceBote24 UG (haftungsbeschränkt);2020-11-23
StreamBoost GmbH;2020-11-23
TLNG Digital GmbH Tooling Services;2020-11-23
ignimed UG (haftungsbeschränkt);2020-11-21
top.legal GmbH;2020-11-21
IOP Global GmbH;2020-11-20
JourneyFit UG (haftungsbeschränkt);2020-11-20
MITWERKEN GmbH;2020-11-20
Multilinx Energy GmbH;2020-11-20
Rest-Cent Systems GmbH;2020-11-20
Thinking Cars GmbH;2020-11-20
Whiz Creative UG (haftungsbeschränkt);2020-11-20
ContractHero GmbH;2020-11-19
Delta Theranostics GmbH;2020-11-19
Digital Power Systems GmbH;2020-11-19
FinEasy GmbH;2020-11-19
Fysioletics UG (haftungsbeschränkt);2020-11-19
Good Company Works GmbH;2020-11-19
Law Automation GmbH;2020-11-19
nurii UG (haftungsbeschränkt);2020-11-19
panmabs GmbH;2020-11-19
Starkwasser Freunde UG (haftungsbeschränkt);2020-11-19
Steeped Software Germany GmbH;2020-11-19
toget.hr GmbH;2020-11-19
TrackIn UG (haftungsbeschränkt);2020-11-19
Webmotion.cloud GmbH;2020-11-19
xarma life sciences GmbH;2020-11-19
1ds.io UG (haftungsbeschränkt);2020-11-18
2markets UG (haftungsbeschränkt);2020-11-18
Meltingplot GmbH;2020-11-18
MOBILCONDO GmbH;2020-11-18
SYNCED GmbH;2020-11-18
WiCare GmbH;2020-11-18
Alpspitz Bioscience GmbH;2020-11-17
Aptamimetics GmbH;2020-11-17
Aquapurna GmbH;2020-11-17
BODYCLOCK Technologies GmbH;2020-11-17
Canobel GmbH;2020-11-17
DWiPit GmbH;2020-11-17
Fontano GmbH;2020-11-17
FoxLab GmbH;2020-11-17
FrameOne Bespoke Mobility UG (haftungsbeschränkt);2020-11-17
GeoScan GmbH;2020-11-17
Nomad Brands GmbH;2020-11-17
page91 UG (haftungsbeschränkt);2020-11-17
PHARALL GmbH;2020-11-17
Priceloop GmbH;2020-11-17
PRIMAX 3D GmbH;2020-11-17
SCALR.WORKS UG (haftungsbeschränkt);2020-11-17
Sustainable Seeds GmbH;2020-11-17
toGo Filter GmbH;2020-11-17
Ulmann Labs GmbH;2020-11-17
AUF Mobility UG (haftungsbeschränkt);2020-11-16
bathmatch GmbH;2020-11-16
Click n Safe UG (haftungsbeschränkt);2020-11-16
ClUrb UG (haftungsbeschränkt);2020-11-16
DDM IT-Solutions UG (haftungsbeschränkt);2020-11-16
Modular Robotics UG (haftungsbeschränkt);2020-11-16
NATURWIRKT GmbH;2020-11-16
permarobotics GmbH;2020-11-16
Shapematchr GmbH;2020-11-16
Sustainable Aviation Lab GmbH;2020-11-16
TYG Sports GmbH;2020-11-16
uproto AG;2020-11-16
VYVITY UG (haftungsbeschränkt);2020-11-16
zfilment GmbH;2020-11-16
Urban Living & Working GmbH;2020-11-15
MeinBau Software GmbH;2020-11-14
Al Fragrance & Cosmetic Lab GmbH;2020-11-13
AVA Laundry Systems GmbH;2020-11-13
BetterTogether Ventures GmbH;2020-11-13
Loopline Systems GmbH;2020-11-13
Plus 360 Degrees GmbH;2020-11-13
RCHBL GmbH;2020-11-13
SCALARA GmbH;2020-11-13
Spaceteams GmbH;2020-11-13
TCC The Care Company GmbH;2020-11-13
Volateq GmbH;2020-11-13
23 Technologies GmbH;2020-11-12
3D Ninjas GmbH;2020-11-12
Becomsolut UG (haftungsbeschränkt);2020-11-12
Berlin Sports Solutions GmbH;2020-11-12
BrickBite GmbH;2020-11-12
FileScan GmbH;2020-11-12
Joavina UG (haftungsbeschränkt);2020-11-12
LComply UG (haftungsbeschränkt);2020-11-12
MentalAid UG (haftungsbeschränkt);2020-11-12
nearU GmbH;2020-11-12
QUIN Finance Technology Software GmbH;2020-11-12
vc quadrat GmbH;2020-11-12
wazzl GmbH;2020-11-12
Amamaxa GmbH;2020-11-11
Gatsby Gin GmbH;2020-11-11
Hejdu GmbH;2020-11-11
NULLCOZWEI GmbH;2020-11-11
Origin.bio GmbH;2020-11-11
Socketbutler GmbH;2020-11-11
TieTalent GmbH;2020-11-11
AIMS Technology UG (haftungsbeschränkt);2020-11-10
Authory GmbH;2020-11-10
Doppelpass Digital GmbH;2020-11-10
Finexplorer UG (haftungsbeschränkt);2020-11-10
FLEXeCHARGE GmbH;2020-11-10
HYBR Games GmbH;2020-11-10
IMTI Enterprises GmbH;2020-11-10
NODE Robotics GmbH;2020-11-10
ooohne GmbH;2020-11-10
Pawhero UG (haftungsbeschränkt);2020-11-10
Premium Mounting Technologies Holding GmbH;2020-11-10
Quantum Brilliance GmbH;2020-11-10
Relivery GmbH;2020-11-10
Spenoki Solutions GmbH;2020-11-10
TINY Technologies GmbH;2020-11-10
VimCash GmbH;2020-11-10
Weflow GmbH;2020-11-10
B//NU PERFORMANCE GmbH;2020-11-09
Brötchen.app Germany GmbH;2020-11-09
CT battery GmbH;2020-11-09
D10Labs UG (haftungsbeschränkt);2020-11-09
Femmetech UG (haftungsbeschränkt);2020-11-09
Healthtech Ventures GmbH;2020-11-09
Holy Energy GmbH;2020-11-09
Hydro-Generation GmbH;2020-11-09
JobSwop.io UG (haftungsbeschränkt);2020-11-09
Mobile Healthcare Solutions GmbH;2020-11-09
Rocket Fitness GmbH;2020-11-09
Theion GmbH;2020-11-09
VARMT UG (haftungsbeschränkt);2020-11-09
AGFS Invest Berlin GmbH;2020-11-06
Cloud Recruiting Solutions GmbH;2020-11-06
evos GmbH;2020-11-06
ONIQ GmbH;2020-11-06
Onstruc UG (haftungsbeschränkt);2020-11-06
Orthomolecular Beauty Science GmbH;2020-11-06
Pinthera PPI UG (haftungsbeschränkt);2020-11-06
Take a Garden UG (haftungsbeschränkt);2020-11-06
tasting.de GmbH;2020-11-06
testathome UG (haftungsbeschränkt);2020-11-06
ToolQuest UG (haftungsbeschränkt);2020-11-06
Apinima GmbH;2020-11-05
Event is coming home GmbH;2020-11-05
GreenCircle GmbH;2020-11-05
Home Search GmbH;2020-11-05
Legalnaut UG (haftungsbeschränkt);2020-11-05
MAXImolding! Technology GmbH;2020-11-05
MessageFlow.com GmbH;2020-11-05
Perla Health GmbH;2020-11-05
Superlunary Products GmbH;2020-11-05
Total Fansports GmbH;2020-11-05
Aitaro GmbH;2020-11-04
Breaklounge GmbH;2020-11-04
Carlo & Friends GmbH;2020-11-04
Grace Cloud GmbH;2020-11-04
GRUNDSTEINe GmbH;2020-11-04
Heyday Technologies GmbH;2020-11-04
INLOCAL GmbH;2020-11-04
JustPlay GmbH;2020-11-04
LIPA Digital Labs GmbH;2020-11-04
LYNX 37 GmbH;2020-11-04
PeanutPay GmbH;2020-11-04
Pixel Photonics GmbH;2020-11-04
SAM-DIMENSION UG (haftungsbeschränkt);2020-11-04
Sonet GmbH;2020-11-04
The Good Cobs GmbH;2020-11-04
Unifai GmbH;2020-11-04
Vantcode UG (haftungsbeschränkt);2020-11-04
binda UG (haftungsbeschränkt);2020-11-03
Coyooco GmbH;2020-11-03
Eikonist GmbH;2020-11-03
EntoSys GmbH;2020-11-03
IFOX Systems GmbH;2020-11-03
Kickass Sports GmbH;2020-11-03
LeadKraken GmbH;2020-11-03
Maecenarts UG (haftungsbeschränkt);2020-11-03
Mindroid UG (haftungsbeschränkt);2020-11-03
Neurorithms UG (haftungsbeschränkt);2020-11-03
SADEY UG (haftungsbeschränkt);2020-11-03
Safesim UG (haftungsbeschränkt);2020-11-03
tshakka GmbH;2020-11-03
Wyldr Food UG (haftungsbeschränkt);2020-11-03
Zohm Control GmbH;2020-11-03
KH Biotechnology UG (haftungsbeschränkt);2020-11-02
LANA Commerce UG (haftungsbeschränkt);2020-11-02
Neotes GmbH;2020-11-02
nFRONTIER GmbH;2020-11-02
RR Technologies GmbH;2020-11-02
Sethealth GmbH;2020-11-02
smartdings GmbH;2020-11-02
SYNTINELS GmbH;2020-11-02
THNG GmbH;2020-11-02
Tyccus UG (haftungsbeschränkt);2020-11-02
luftding GmbH;2020-10-31
ShootShare GmbH;2020-10-31
The Plant Magic Company GmbH;2020-10-31
AKmira optronics GmbH;2020-10-30
Trace-App UG (haftungsbeschränkt);2020-10-30
Access All Areas STND UG (haftungsbeschränkt);2020-10-29
Ancora.ai Germany GmbH;2020-10-29
Carbon Instead UG (haftungsbeschränkt);2020-10-29
Framework Robotics GmbH;2020-10-29
Frischepost München GmbH;2020-10-29
fyrfeed GmbH;2020-10-29
GetFaster GmbH;2020-10-29
GlobalDancer UG (haftungsbeschränkt);2020-10-29
haas - happiness as a service UG (haftungsbeschränkt);2020-10-29
ImmunometriX UG (haftungsbeschränkt);2020-10-29
Integrative Medicine Easy UG (haftungsbeschränkt);2020-10-29
LexMentis UG (haftungsbeschränkt);2020-10-29
ontrabo GmbH;2020-10-29
RELOAD Motors GmbH;2020-10-29
SimpleJOB GmbH;2020-10-29
Sustainable Change Labs UG (haftungsbeschränkt);2020-10-29
telmedicon GmbH;2020-10-29
The Box Beverages GmbH;2020-10-29
Trana GmbH;2020-10-29
welox tech GmbH;2020-10-29
2GROW UG (haftungsbeschränkt);2020-10-28
aboDeinauto GmbH;2020-10-28
Brainalytics UG (haftungsbeschränkt);2020-10-28
Fanz GmbH;2020-10-28
Guardian Technologies GmbH;2020-10-28
Hypnetic GmbH;2020-10-28
Lineback UG (haftungsbeschränkt);2020-10-28
Linkki GmbH;2020-10-28
Marine Digital GmbH;2020-10-28
Mooneh GmbH;2020-10-28
Mosquilla GmbH;2020-10-28
NaturalSelection.AI GmbH;2020-10-28
OMF Sales GmbH;2020-10-28
PalmBrause Erfrischungsgetränke GmbH;2020-10-28
Parkio GmbH;2020-10-28
RAWLAB GmbH;2020-10-28
Teion Medizinprodukte GmbH;2020-10-28
Worldler GmbH;2020-10-28
Yesdays Healthcare GmbH;2020-10-28
Antgrid UG (haftungsbeschränkt);2020-10-27
Buzicard GmbH;2020-10-27
Catena GmbH;2020-10-27
ClinCoach UG (haftungsbeschränkt);2020-10-27
Datamappr UG (haftungsbeschränkt);2020-10-27
Fatcrazy UG (haftungsbeschränkt);2020-10-27
HOL UG (haftungsbeschränkt);2020-10-27
Proteolutions UG (haftungsbeschränkt);2020-10-27
SMART work labs GmbH;2020-10-27
talking hands flipbooks GmbH;2020-10-27
Trialflow GmbH;2020-10-27
UKIYO GmbH;2020-10-27
Vertama UG (haftungsbeschränkt);2020-10-27
Banyô GmbH;2020-10-26
Cuthalion GmbH;2020-10-26
Floraveda GmbH;2020-10-26
Gray Convention GmbH;2020-10-26
Löwenkind GmbH;2020-10-26
Moongold UG (haftungsbeschränkt);2020-10-26
Neural Jam GmbH;2020-10-26
Orthopy Health GmbH;2020-10-26
Soncho GmbH;2020-10-26
Techmap GmbH;2020-10-26
Charge Construct GmbH;2020-10-24
MARKTKOST Lunch as a Service GmbH;2020-10-24
Meister Systems GmbH;2020-10-23
noflair RT UG (haftungsbeschränkt);2020-10-23
Paraspot GmbH;2020-10-23
Sanos Group UG (haftungsbeschränkt);2020-10-23
Spark To Go GmbH;2020-10-23
TableQ GmbH;2020-10-23
Volta Nature Herbs UG (haftungsbeschränkt);2020-10-23
Yvelly UG (haftungsbeschränkt);2020-10-23
accordDesk GmbH;2020-10-22
Apricot Health GmbH;2020-10-22
AWAKE Mobility GmbH;2020-10-22
concludio Mathematikbildung UG (haftungsbeschränkt);2020-10-22
FoodLoop GmbH;2020-10-22
Institut Digitale Frauengesundheit GmbH (IDFG GmbH);2020-10-22
Litentry Technologies GmbH;2020-10-22
LiWAVE GmbH;2020-10-22
MESASIGHT GmbH;2020-10-22
New.MOOVE GmbH;2020-10-22
NuPrevento GmbH;2020-10-22
Quimedo GmbH;2020-10-22
SessionButler GmbH;2020-10-22
ActiTrexx GmbH;2020-10-21
anabrid GmbH;2020-10-21
German 3D Dental Factory GmbH;2020-10-21
HoloMetrix GmbH;2020-10-21
hypercon solutions UG (haftungsbeschränkt);2020-10-21
Icy Forge UG (haftungsbeschränkt);2020-10-21
janori GmbH;2020-10-21
Lieferorder GmbH;2020-10-21
Moxie People GmbH;2020-10-21
Napfglück GmbH;2020-10-21
Pet.Tech GmbH;2020-10-21
Sunbike UG (haftungsbeschränkt);2020-10-21
Unlimited Ventures GmbH;2020-10-21
Wisibly UG (haftungsbeschränkt);2020-10-21
Ansothera UG (haftungsbeschränkt);2020-10-20
chammi GmbH;2020-10-20
Delightful Finance GmbH;2020-10-20
Digital Blast GmbH;2020-10-20
lifelive.io GmbH;2020-10-20
LIVEBUY GmbH;2020-10-20
Loci ML GmbH;2020-10-20
S&C Systems GmbH;2020-10-20
souljar GmbH;2020-10-20
Streamheroes GmbH;2020-10-20
THE FLOOX UG (haftungsbeschränkt);2020-10-20
UPTIDE beverages GmbH;2020-10-20
Canimalo GmbH;2020-10-19
iComply GmbH;2020-10-19
Kaiko Systems GmbH;2020-10-19
Level5 GmbH;2020-10-19
MMM Intelligence UG (haftungsbeschränkt);2020-10-19
Yarnsustain Schönrock Uhl GmbH;2020-10-19
Body Force Realities GmbH;2020-10-17
Tasktrails UG (haftungsbeschränkt);2020-10-17
Careanimations GmbH;2020-10-16
Charge Anywhere UG (haftungsbeschränkt);2020-10-16
Charly Group GmbH;2020-10-16
ComeMit UG (haftungsbeschränkt);2020-10-16
CUX GmbH;2020-10-16
Docs4D GmbH;2020-10-16
DOVO Stahlwaren GmbH;2020-10-16
EOSH GmbH;2020-10-16
GarantieHeld UG (haftungsbeschränkt);2020-10-16
iFactory3D GmbH;2020-10-16
Lift Your Vision GmbH;2020-10-16
Loving Local GmbH;2020-10-16
MediaDisrupt UG (haftungsbeschränkt);2020-10-16
MGAM Alliance Concept GmbH;2020-10-16
Natalie's Cosmetics GmbH;2020-10-16
bookitup GmbH;2020-10-15
BubbleFox UG (haftungsbeschränkt);2020-10-15
Cabineer GmbH;2020-10-15
Donnerberg Systems GmbH;2020-10-15
ebitools UG (haftungsbeschränkt);2020-10-15
Fundsy UG (haftungsbeschränkt);2020-10-15
Leadership Sprouts GmbH;2020-10-15
Matnamics Automatisierungstechnik UG (haftungsbeschränkt);2020-10-15
Medicine App SMH UG (haftungsbeschränkt);2020-10-15
ModuGen GmbH;2020-10-15
Mosaic Labs UG (haftungsbeschränkt);2020-10-15
SecureAir GmbH;2020-10-15
Signal Hill GmbH;2020-10-15
Cryomotive GmbH;2020-10-14
Freude Software UG (haftungsbeschränkt);2020-10-14
GES Nutrition GmbH;2020-10-14
hivr solutions GmbH;2020-10-14
kompreno GmbH;2020-10-14
Monaco Stamperl GmbH;2020-10-14
NightinGames UG (haftungsbeschränkt);2020-10-14
OYESS Beauty GmbH;2020-10-14
SIMLINCK UG (haftungsbeschränkt);2020-10-14
SLACE GmbH;2020-10-14
sosys GmbH;2020-10-14
Umbukuu UG (haftungsbeschränkt);2020-10-14
Virtualletics GmbH;2020-10-14
YXO Cosmetics GmbH;2020-10-14
CASPER DATA INNOVATIONS GmbH;2020-10-13
Delligent Medical Robotics GmbH;2020-10-13
Dr.wait UG (haftungsbeschränkt);2020-10-13
Feedback Master UG (haftungsbeschränkt);2020-10-13
Lico Analytics GmbH;2020-10-13
LOLOCO UG (haftungsbeschränkt);2020-10-13
Mage Labs GmbH;2020-10-13
PanAnalyse GmbH;2020-10-13
Substantio GmbH;2020-10-13
Systemworld GmbH;2020-10-13
Threedy GmbH;2020-10-13
CFxO GmbH;2020-10-12
Check Chemie UG (haftungsbeschränkt);2020-10-12
CO-LEADER GmbH;2020-10-12
hallo.immo GmbH;2020-10-12
HelloMe UG (haftungsbeschränkt);2020-10-12
Landrunde GmbH;2020-10-12
Parqet Fintech GmbH;2020-10-12
ZF Mobility Solutions GmbH;2020-10-10
Belfort UG (haftungsbeschränkt);2020-10-09
Chessence GmbH;2020-10-09
comentis GmbH;2020-10-09
encentive GmbH;2020-10-09
FactoryPal GmbH;2020-10-09
fandli GmbH;2020-10-09
infresh Group GmbH;2020-10-09
InspectorX GmbH;2020-10-09
RobCo GmbH;2020-10-09
Snackhelden GmbH;2020-10-09
Ubiscore GmbH;2020-10-09
UnsichtBra GmbH;2020-10-09
Womo-Erfurt GmbH;2020-10-09
aaxell GmbH;2020-10-08
AI PIONEERS UG (haftungsbeschränkt);2020-10-08
AMAZD GmbH;2020-10-08
Athleez UG (haftungsbeschränkt);2020-10-08
Fanbase GmbH;2020-10-08
Heimatwunder UG (haftungsbeschränkt);2020-10-08
Hopaut UG (haftungsbeschränkt);2020-10-08
nikima GmbH;2020-10-08
Quantum Gaming GmbH;2020-10-08
QuantumLight UG (haftungsbeschränkt);2020-10-08
Shootle GmbH;2020-10-08
VIMETRA GmbH;2020-10-08
Audoora GmbH;2020-10-07
Consentmanager GmbH;2020-10-07
Crossware I/O GmbH;2020-10-07
Dashl GmbH;2020-10-07
HolyPoly GmbH;2020-10-07
LauterBlauSoft UG (haftungsbeschränkt);2020-10-07
Norrsken Lighting UG (haftungsbeschränkt);2020-10-07
PayClou GmbH;2020-10-07
RHoPTec GmbH;2020-10-07
spreekit GmbH;2020-10-07
Yoona Ventures GmbH;2020-10-07
bel.guard GmbH;2020-10-06
Comidano UG (haftungsbeschränkt);2020-10-06
Every. GmbH;2020-10-06
EWAKE GERMANY GmbH;2020-10-06
Gitpod GmbH;2020-10-06
GroovIT GmbH;2020-10-06
